,Unnamed: 0,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,city_id,city_dev_perc,experience_lvl,company_class
15,15,6588,city_114,0.926,1,1,no_enrollment,Graduate,STEM,16,10-49,Pvt Ltd,>4,18,0.0,114,92.60000000000001,expert_lvl,small_company
16,16,4167,city_103,0.92,0,1,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,0,106,0.0,103,92.0,entry_lvl,small_company
17,17,5764,city_21,0.624,0,1,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,0.0,21,62.4,mid_lvl,large_company
18,18,2156,city_21,0.624,0,1,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,0,23,1.0,21,62.4,mid_lvl,very_large_company
19,19,11399,city_13,0.8270000000000001,2,1,no_enrollment,Graduate,Arts,4,,,1,132,1.0,13,82.7,mid_lvl,unknown
20,20,31972,city_159,0.843,1,1,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,68,0.0,159,84.3,senior_lvl,mid_size_company
21,21,19061,city_114,0.926,1,1,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,2,50,0.0,114,92.60000000000001,senior_lvl,mid_size_company
22,22,6491,city_102,0.804,0,1,no_enrollment,Masters,STEM,10,,,1,48,0.0,102,80.4,senior_lvl,unknown
23,23,7041,city_40,0.7759999999999999,1,1,no_enrollment,Graduate,Humanities,<1,1000-4999,Pvt Ltd,1,65,0.0,40,77.6,entry_lvl,large_company
24,24,22767,city_21,0.624,0,1,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,1,13,0.0,21,62.4,mid_lvl,large_company
25,25,14505,city_67,0.855,0,0,no_enrollment,High School,,4,,,0,22,0.0,67,85.5,mid_lvl,unknown
26,26,17139,city_21,0.624,0,1,Part time course,Graduate,STEM,14,500-999,Pvt Ltd,1,148,1.0,21,62.4,senior_lvl,mid_size_company
27,27,28476,city_103,0.92,1,1,no_enrollment,Graduate,Arts,5,,,2,72,0.0,103,92.0,mid_lvl,unknown
28,28,21538,city_100,0.887,1,1,no_enrollment,High School,,11,<10,Pvt Ltd,1,8,1.0,100,88.7,senior_lvl,small_company
29,29,10408,city_21,0.624,1,1,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1.0,21,62.4,expert_lvl,small_company
30,30,14928,city_103,0.92,1,1,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,40,0.0,103,92.0,expert_lvl,mid_size_company
31,31,22293,city_103,0.92,1,1,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,0.0,103,92.0,expert_lvl,large_company
32,32,4324,city_103,0.92,2,0,Full time course,Graduate,STEM,5,,,1,24,0.0,103,92.0,mid_lvl,unknown
33,33,26966,city_160,0.92,2,1,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,0.0,160,92.0,expert_lvl,mid_size_company
34,34,26494,city_16,0.91,1,1,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,0.0,16,91.0,senior_lvl,large_company
35,35,4866,city_103,0.92,1,1,no_enrollment,Graduate,STEM,10,10-49,Early Stage Startup,2,206,0.0,103,92.0,senior_lvl,small_company
36,36,12726,city_114,0.926,1,0,Part time course,High School,,1,10000+,Other,1,152,0.0,114,92.60000000000001,entry_lvl,very_large_company
37,37,10164,city_114,0.926,1,1,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,1.0,114,92.60000000000001,expert_lvl,mid_size_company
38,38,8612,city_103,0.92,0,0,no_enrollment,Graduate,STEM,12,,,4,50,0.0,103,92.0,senior_lvl,unknown
39,39,24659,city_71,0.884,1,0,no_enrollment,,,3,,,0,106,0.0,71,88.4,mid_lvl,unknown
40,40,2547,city_114,0.926,2,1,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,0.0,114,92.60000000000001,expert_lvl,large_company
41,41,13854,city_104,0.924,1,1,no_enrollment,High School,,4,10-49,Pvt Ltd,2,36,0.0,104,92.4,mid_lvl,small_company
42,42,31654,city_21,0.624,0,1,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,1.0,21,62.4,mid_lvl,small_company
43,43,13643,city_64,0.6659999999999999,0,0,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,0,108,0.0,64,66.6,mid_lvl,small_company
44,44,5590,city_21,0.624,1,1,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,1.0,21,62.4,mid_lvl,large_company
45,45,22452,city_21,0.624,2,0,Full time course,Masters,STEM,5,,,0,26,1.0,21,62.4,mid_lvl,unknown
46,46,9006,city_21,0.624,1,1,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,0,87,1.0,21,62.4,mid_lvl,mid_size_company
47,47,25987,city_103,0.92,0,1,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,1.0,103,92.0,expert_lvl,very_large_company
48,48,4476,city_101,0.5579999999999999,1,1,no_enrollment,Graduate,No Major,15,,,>4,20,1.0,101,55.8,expert_lvl,unknown
49,49,25103,city_83,0.923,1,1,no_enrollment,Graduate,STEM,11,10-49,Pvt Ltd,1,21,0.0,83,92.30000000000001,senior_lvl,small_company
50,50,5568,city_101,0.5579999999999999,1,0,no_enrollment,Graduate,STEM,4,,,1,92,1.0,101,55.8,mid_lvl,unknown
51,51,2195,city_64,0.6659999999999999,1,1,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,0.0,64,66.6,senior_lvl,mid_size_company
52,52,30533,city_105,0.794,1,0,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0.0,105,79.4,mid_lvl,very_large_company
53,53,28512,city_104,0.924,0,1,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,0.0,104,92.4,mid_lvl,small_company
54,54,1023,city_114,0.926,1,0,Full time course,High School,,4,10000+,Pvt Ltd,1,43,0.0,114,92.60000000000001,mid_lvl,very_large_company
55,55,12253,city_104,0.924,1,1,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,0.0,104,92.4,expert_lvl,mid_size_company
56,56,25296,city_73,0.754,1,1,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,0.0,73,75.4,mid_lvl,small_company
57,57,13238,city_103,0.92,1,1,no_enrollment,Graduate,STEM,>20,,,2,19,0.0,103,92.0,expert_lvl,unknown
58,58,13478,city_21,0.624,0,1,Full time course,Graduate,STEM,2,10-49,Funded Startup,,32,1.0,21,62.4,mid_lvl,small_company
59,59,18578,city_162,0.767,1,1,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,1.0,162,76.7,expert_lvl,mid_size_company
60,60,29975,city_67,0.855,1,1,Part time course,Graduate,STEM,6,,,1,90,0.0,67,85.5,mid_lvl,unknown
61,61,26516,city_75,0.939,1,1,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,0.0,75,93.89999999999999,mid_lvl,mid_size_company
62,62,24690,city_41,0.8270000000000001,0,1,,Masters,STEM,13,<10,,1,15,0.0,41,82.7,senior_lvl,small_company
63,63,8433,city_100,0.887,1,1,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,0.0,100,88.7,expert_lvl,mid_size_company
64,64,9572,city_11,0.55,0,0,Full time course,High School,,3,,,,98,0.0,11,55.00000000000001,mid_lvl,unknown
65,65,5878,city_93,0.865,1,1,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,1.0,93,86.5,senior_lvl,small_company
66,66,25695,city_67,0.855,0,0,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,0.0,67,85.5,mid_lvl,very_large_company
67,67,9645,city_16,0.91,1,1,no_enrollment,Graduate,STEM,15,,,>4,47,0.0,16,91.0,expert_lvl,unknown
68,68,12730,city_16,0.91,2,1,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,0.0,16,91.0,senior_lvl,mid_size_company
69,69,4830,city_90,0.698,0,0,,,,2,,Pvt Ltd,0,228,1.0,90,69.8,mid_lvl,unknown
70,70,20970,city_64,0.6659999999999999,1,1,no_enrollment,Graduate,STEM,>20,,,4,22,0.0,64,66.6,expert_lvl,unknown
71,71,17271,city_21,0.624,1,0,Full time course,Graduate,STEM,<1,,,0,18,1.0,21,62.4,entry_lvl,unknown
72,72,12731,city_13,0.8270000000000001,1,1,no_enrollment,Graduate,STEM,2,10-49,Pvt Ltd,1,29,0.0,13,82.7,mid_lvl,small_company
73,73,10908,city_67,0.855,1,1,no_enrollment,Masters,STEM,5,100-500,,1,46,0.0,67,85.5,mid_lvl,mid_size_company
74,74,29117,city_11,0.55,0,0,Full time course,Graduate,STEM,<1,,,0,12,0.0,11,55.00000000000001,entry_lvl,unknown
75,75,3686,city_103,0.92,0,1,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,0.0,103,92.0,mid_lvl,mid_size_company
76,76,22683,city_36,0.893,1,1,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0.0,36,89.3,mid_lvl,small_company
77,77,22134,city_103,0.92,1,0,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,0.0,103,92.0,mid_lvl,mid_size_company
78,78,31765,city_67,0.855,1,0,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,0.0,67,85.5,mid_lvl,very_large_company
79,79,31449,city_103,0.92,2,1,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,0.0,103,92.0,mid_lvl,small_company
80,80,5987,city_103,0.92,1,1,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,0.0,103,92.0,expert_lvl,small_company
81,81,21762,city_160,0.92,1,1,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,0.0,160,92.0,expert_lvl,small_company
82,82,22070,city_103,0.92,1,0,no_enrollment,Graduate,STEM,>20,,,1,136,0.0,103,92.0,expert_lvl,unknown
83,83,25413,city_103,0.92,1,1,no_enrollment,Graduate,STEM,5,10-49,,1,27,0.0,103,92.0,mid_lvl,small_company
84,84,5902,city_20,0.7959999999999999,0,1,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,0.0,20,79.6,mid_lvl,small_company
85,85,28403,city_71,0.884,1,1,no_enrollment,Graduate,STEM,15,10-49,Early Stage Startup,1,86,0.0,71,88.4,expert_lvl,small_company
86,86,30937,city_57,0.866,2,0,Part time course,Graduate,STEM,<1,10-49,Pvt Ltd,2,83,0.0,57,86.6,entry_lvl,small_company
87,87,28751,city_103,0.92,0,0,Full time course,High School,,4,,,3,75,0.0,103,92.0,mid_lvl,unknown
88,88,29290,city_152,0.698,1,0,Full time course,Masters,STEM,11,,Public Sector,2,42,0.0,152,69.8,senior_lvl,unknown
89,89,32401,city_103,0.92,2,1,no_enrollment,Graduate,STEM,6,100-500,,1,332,0.0,103,92.0,mid_lvl,mid_size_company
90,90,19128,city_61,0.913,1,0,Full time course,Graduate,STEM,4,,,,140,0.0,61,91.3,mid_lvl,unknown
91,91,29036,city_16,0.91,1,0,no_enrollment,High School,,3,,,0,182,0.0,16,91.0,mid_lvl,unknown
92,92,16869,city_103,0.92,2,0,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,1.0,103,92.0,mid_lvl,mid_size_company
93,93,10497,city_19,0.682,0,1,no_enrollment,Graduate,STEM,5,10-49,Pvt Ltd,2,172,1.0,19,68.2,mid_lvl,small_company
94,94,18099,city_103,0.92,0,1,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,0.0,103,92.0,senior_lvl,mid_size_company
95,95,12081,city_65,0.802,1,1,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,0.0,65,80.2,mid_lvl,small_company
96,96,7364,city_160,0.92,0,0,Full time course,High School,,2,100-500,Pvt Ltd,1,142,0.0,160,92.0,mid_lvl,mid_size_company
97,97,11184,city_74,0.579,0,0,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,0.0,74,57.9,mid_lvl,mid_size_company
98,98,7016,city_65,0.802,1,1,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,1.0,65,80.2,mid_lvl,small_company
99,99,8695,city_11,0.55,1,1,no_enrollment,Graduate,STEM,6,10-49,Pvt Ltd,2,27,1.0,11,55.00000000000001,mid_lvl,small_company
100,100,6172,city_11,0.55,1,1,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,1.0,11,55.00000000000001,mid_lvl,mid_size_company
101,101,14672,city_173,0.878,0,0,no_enrollment,Masters,STEM,>20,,,1,150,0.0,173,87.8,expert_lvl,unknown
102,102,18257,city_103,0.92,2,1,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,0.0,103,92.0,senior_lvl,mid_size_company
103,103,24493,city_103,0.92,0,1,no_enrollment,Graduate,STEM,5,500-999,,1,140,0.0,103,92.0,mid_lvl,mid_size_company
104,104,1180,city_16,0.91,1,1,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,0.0,16,91.0,senior_lvl,large_company
105,105,28627,city_75,0.939,1,1,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,0.0,75,93.89999999999999,expert_lvl,small_company
106,106,8168,city_136,0.897,1,1,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,0.0,136,89.7,mid_lvl,large_company
107,107,10473,city_21,0.624,1,1,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1.0,21,62.4,mid_lvl,small_company
108,108,25349,city_16,0.91,1,1,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,0.0,16,91.0,expert_lvl,large_company
109,109,5220,city_73,0.754,1,1,no_enrollment,Graduate,Other,>20,,,4,46,0.0,73,75.4,expert_lvl,unknown
110,110,4789,city_67,0.855,1,1,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0.0,67,85.5,mid_lvl,small_company
111,111,11338,city_114,0.926,1,1,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,0.0,114,92.60000000000001,senior_lvl,small_company
112,112,27963,city_98,0.949,1,0,Full time course,Graduate,STEM,4,,,1,160,1.0,98,94.89999999999999,mid_lvl,unknown
113,113,8571,city_21,0.624,1,1,Full time course,Graduate,STEM,2,10-49,NGO,2,101,0.0,21,62.4,mid_lvl,small_company
114,114,16303,city_114,0.926,1,1,no_enrollment,Masters,STEM,6,50-99,,1,46,0.0,114,92.60000000000001,mid_lvl,small_company
115,115,20576,city_97,0.925,1,1,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,0.0,97,92.5,expert_lvl,large_company
116,116,32966,city_21,0.624,1,1,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,1.0,21,62.4,mid_lvl,mid_size_company
117,117,21199,city_90,0.698,0,1,Full time course,Graduate,STEM,7,<10,NGO,1,90,0.0,90,69.8,mid_lvl,small_company
118,118,18819,city_50,0.8959999999999999,1,1,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,0.0,50,89.6,mid_lvl,small_company
119,119,14199,city_160,0.92,1,1,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,0.0,160,92.0,senior_lvl,small_company
120,120,7666,city_21,0.624,2,1,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,0.0,21,62.4,senior_lvl,small_company
121,121,13915,city_16,0.91,1,1,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,1.0,16,91.0,expert_lvl,mid_size_company
122,122,10555,city_173,0.878,1,1,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,0.0,173,87.8,senior_lvl,mid_size_company
123,123,16040,city_103,0.92,1,1,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,0.0,103,92.0,mid_lvl,mid_size_company
124,124,32826,city_138,0.836,1,1,Full time course,Masters,STEM,7,,,1,45,0.0,138,83.6,mid_lvl,unknown
125,125,13253,city_82,0.693,1,1,Full time course,Graduate,STEM,11,10-49,Pvt Ltd,2,109,0.0,82,69.3,senior_lvl,small_company
126,126,15637,city_67,0.855,1,1,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,0.0,67,85.5,mid_lvl,mid_size_company
127,127,28074,city_103,0.92,2,1,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17,0.0,103,92.0,expert_lvl,mid_size_company
128,128,23012,city_103,0.92,2,0,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,0.0,103,92.0,expert_lvl,small_company
129,129,16110,city_103,0.92,2,1,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,1.0,103,92.0,mid_lvl,small_company
130,130,3921,city_36,0.893,0,0,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,0.0,36,89.3,expert_lvl,large_company
131,131,24530,city_114,0.926,1,0,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,0.0,114,92.60000000000001,senior_lvl,mid_size_company
132,132,1924,city_102,0.804,0,1,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164,0.0,102,80.4,expert_lvl,mid_size_company
133,133,32776,city_64,0.6659999999999999,1,1,no_enrollment,Graduate,STEM,20,,,4,290,0.0,64,66.6,expert_lvl,unknown
134,134,1907,city_102,0.804,1,0,no_enrollment,High School,,2,<10,NGO,0,145,0.0,102,80.4,mid_lvl,small_company
135,135,23947,city_103,0.92,0,0,no_enrollment,Phd,STEM,,,,,70,0.0,103,92.0,unknown,unknown
136,136,3116,city_21,0.624,1,0,no_enrollment,,,3,,,1,24,0.0,21,62.4,mid_lvl,unknown
137,137,24829,city_103,0.92,1,0,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,1.0,103,92.0,mid_lvl,very_large_company
138,138,30488,city_11,0.55,0,0,Full time course,Graduate,STEM,2,,,1,20,0.0,11,55.00000000000001,mid_lvl,unknown
139,139,1265,city_103,0.92,1,1,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0.0,103,92.0,senior_lvl,small_company
140,140,22098,city_90,0.698,2,0,Full time course,Masters,STEM,5,,,4,21,1.0,90,69.8,mid_lvl,unknown
141,141,13342,city_21,0.624,2,1,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,0.0,21,62.4,mid_lvl,large_company
142,142,24608,city_160,0.92,1,0,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,0.0,160,92.0,mid_lvl,small_company
143,143,20081,city_57,0.866,1,0,no_enrollment,Graduate,STEM,>20,,,>4,156,0.0,57,86.6,expert_lvl,unknown
144,144,24796,city_103,0.92,1,1,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,0.0,103,92.0,expert_lvl,large_company
145,145,7777,city_114,0.926,0,1,no_enrollment,Masters,STEM,>20,,,0,120,0.0,114,92.60000000000001,expert_lvl,unknown
146,146,22718,city_157,0.769,0,1,no_enrollment,Graduate,No Major,14,10000+,,>4,47,0.0,157,76.9,senior_lvl,very_large_company
147,147,1261,city_73,0.754,1,1,no_enrollment,Graduate,STEM,12,,,2,100,1.0,73,75.4,senior_lvl,unknown
148,148,3396,city_67,0.855,1,1,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,0,102,0.0,67,85.5,mid_lvl,mid_size_company
149,149,4283,city_103,0.92,1,0,no_enrollment,High School,,4,,,0,52,0.0,103,92.0,mid_lvl,unknown
150,150,18998,city_114,0.926,0,1,no_enrollment,High School,,9,10-49,,4,39,0.0,114,92.60000000000001,mid_lvl,small_company
151,151,2003,city_103,0.92,1,1,Full time course,High School,,4,,,1,112,1.0,103,92.0,mid_lvl,unknown
152,152,31786,city_103,0.92,1,0,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0.0,103,92.0,expert_lvl,small_company
153,153,8241,city_16,0.91,0,1,no_enrollment,,,11,,,1,4,0.0,16,91.0,senior_lvl,unknown
154,154,12154,city_16,0.91,0,1,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,0.0,16,91.0,expert_lvl,large_company
155,155,23455,city_21,0.624,1,1,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,1.0,21,62.4,mid_lvl,very_large_company
156,156,19882,city_16,0.91,1,1,no_enrollment,Graduate,STEM,15,,,>4,72,0.0,16,91.0,expert_lvl,unknown
157,157,28817,city_89,0.925,1,1,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,1.0,89,92.5,senior_lvl,large_company
158,158,4656,city_114,0.926,1,0,no_enrollment,High School,,6,,Pvt Ltd,0,28,0.0,114,92.60000000000001,mid_lvl,unknown
159,159,7280,city_103,0.92,1,1,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,0.0,103,92.0,senior_lvl,very_large_company
160,160,16903,city_103,0.92,1,1,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,0.0,103,92.0,expert_lvl,large_company
161,161,13333,city_75,0.939,0,1,no_enrollment,Graduate,STEM,>20,,,0,326,0.0,75,93.89999999999999,expert_lvl,unknown
162,162,26241,city_103,0.92,1,1,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33,0.0,103,92.0,expert_lvl,mid_size_company
163,163,12381,city_102,0.804,0,0,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,0.0,102,80.4,mid_lvl,very_large_company
164,164,4064,city_160,0.92,0,1,no_enrollment,Graduate,STEM,18,,,1,198,1.0,160,92.0,expert_lvl,unknown
165,165,32092,city_103,0.92,2,1,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,0.0,103,92.0,expert_lvl,very_large_company
166,166,3766,city_150,0.698,1,0,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,0.0,150,69.8,expert_lvl,mid_size_company
167,167,30496,city_103,0.92,1,1,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0.0,103,92.0,expert_lvl,mid_size_company
168,168,7189,city_73,0.754,1,1,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,0.0,73,75.4,expert_lvl,small_company
169,169,29497,city_103,0.92,1,1,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,1.0,103,92.0,expert_lvl,very_large_company
170,170,31593,city_67,0.855,1,1,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114,0.0,67,85.5,senior_lvl,mid_size_company
171,171,12384,city_70,0.698,0,1,,,,>20,,,>4,33,0.0,70,69.8,expert_lvl,unknown
172,172,11986,city_90,0.698,1,1,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,0.0,90,69.8,mid_lvl,small_company
173,173,31033,city_16,0.91,0,0,Full time course,High School,,3,,,1,8,0.0,16,91.0,mid_lvl,unknown
174,174,14835,city_173,0.878,2,1,Part time course,High School,,2,100-500,NGO,1,22,0.0,173,87.8,mid_lvl,mid_size_company
175,175,3728,city_103,0.92,1,1,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,0.0,103,92.0,expert_lvl,large_company
176,176,3024,city_98,0.949,1,1,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,0.0,98,94.89999999999999,expert_lvl,small_company
177,177,23508,city_103,0.92,1,1,no_enrollment,Masters,STEM,9,10-49,Pvt Ltd,1,22,0.0,103,92.0,mid_lvl,small_company
178,178,29457,city_103,0.92,1,1,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,0.0,103,92.0,expert_lvl,small_company
179,179,12297,city_175,0.7759999999999999,0,1,Full time course,Graduate,STEM,4,10-49,Funded Startup,1,11,0.0,175,77.6,mid_lvl,small_company
180,180,27708,city_94,0.698,1,0,Full time course,Graduate,STEM,5,5000-9999,,,24,1.0,94,69.8,mid_lvl,large_company
181,181,3065,city_103,0.92,1,1,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50,0.0,103,92.0,expert_lvl,mid_size_company
182,182,29226,city_104,0.924,1,0,Full time course,High School,,6,,,0,15,0.0,104,92.4,mid_lvl,unknown
183,183,5493,city_28,0.939,1,1,no_enrollment,Masters,STEM,>20,10-49,Pvt Ltd,>4,31,0.0,28,93.89999999999999,expert_lvl,small_company
184,184,2891,city_114,0.926,1,1,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,0,84,0.0,114,92.60000000000001,expert_lvl,small_company
185,185,32509,city_136,0.897,1,1,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,0.0,136,89.7,mid_lvl,very_large_company
186,186,31841,city_21,0.624,0,1,no_enrollment,Graduate,STEM,10,10-49,Pvt Ltd,>4,105,1.0,21,62.4,senior_lvl,small_company
187,187,907,city_103,0.92,2,1,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,0.0,103,92.0,expert_lvl,small_company
188,188,29526,city_115,0.789,1,1,no_enrollment,Graduate,STEM,14,10-49,Pvt Ltd,>4,42,1.0,115,78.9,senior_lvl,small_company
189,189,10956,city_94,0.698,1,1,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,0.0,94,69.8,expert_lvl,small_company
190,190,26099,city_103,0.92,1,1,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,0.0,103,92.0,senior_lvl,very_large_company
